METRO_ID,Metropolitan areas,Total GDP(millions),Percapita GDP
AT001,Vienna,130700.0,46787.0
AT002,Graz,19246.0,45376.0
AT003,Linz,29148.0,46498.0
AT004,Salzburg,19432.0,55594.0
AT005,Innsbruck,14331.0,46502.0
AUS01,Greater Sydney,223170.0,44777.0
AUS02,Greater Melbourne,190285.5,40818.0
AUS03,Greater Brisbane,95669.5,40891.5
AUS04,Greater Perth,114114.5,56716.5
AUS05,Greater Adelaide,51895.0,39334.5
AUS06,Gold Coast,23181.5,39644.5
AUS07,Australian Capital Territory,23754.5,59372.0
AUS08,Newcastle,21451.0,47060.5
AUS10,Wollongong,12845.0,45047.0
AUS14,Geelong,11692.5,41520.0
BE001,Brussels,143365.5,54772.0
BE002,Antwerp,55261.5,50490.5
BE003,Gent,27524.5,46203.5
BE004,Charleroi,13592.5,27857.0
BE005,Liege,23100.0,31060.0
CAN01,Toronto,303281.0,44237.5
CAN02,Montreal,155162.0,35715.5
CAN03,Vancouver,104685.5,42857.5
CAN04,Ottawa,61862.0,42907.5
CAN05,Calgary,88285.0,58761.0
CAN06,Edmonton,78343.0,58551.0
CAN07,Quebec,32080.5,36487.5
CAN08,Winnipeg,33434.0,39619.5
CAN09,Hamilton,26945.5,43297.5
CAN10,London,24378.5,43858.0
CAN11,Kitchener,24288.5,43578.0
CAN12,Halifax,15317.5,33561.0
CAN13,Saanich,14891.0,38889.5
CAN14,Windsor,14801.5,39998.5
CAN15,Saskatoon,14594.5,51724.5
CAN16,Sherbrooke,9408.5,36573.0
CH001,Zurich,84721.0,64302.0
CH002,Geneva,35979.0,62115.0
CH003,Basel,38064.0,70357.0
CH004,Bern,21330.0,51912.0
CH005,Lausanne,18671.0,45928.0
CL004,Antofagasta,21245.5,55751.0
CL006,Coquimbo-La Serena,6231.5,13412.5
CL010,Valparaiso,17132.0,16721.0
CL011,Santiago,158548.0,21803.0
CL014,Rancagua,6857.5,19283.5
CL017,Talca,3546.0,12427.5
CL020,Concepcion,12956.0,12991.5
CL022,Temuco,4694.0,10619.5
CL025,Puerto Montt,3649.5,13368.0
CZ001,Prague,105054.0,48509.0
CZ002,Brno,21488.5,29779.5
CZ003,Ostrava,18443.5,25694.5
CZ004,Plzen,9770.5,28419.5
DE001,Berlin,190471.0,37601.0
DE002,Hamburg,169078.0,52947.0
DE003,Munich,195876.0,69844.0
DE004,Cologne,105958.0,54374.0
DE005,Frankfurt am Main,159137.0,61113.0
DE007,Stuttgart,161761.0,60022.0
DE008,Leipzig,34465.0,34483.0
DE009,Dresden,44789.0,33589.0
DE011,Dusseldorf,96249.0,63054.0
DE012,Bremen,53035.0,42756.0
DE013,Hanover,57451.0,44806.0
DE014,Nuremberg,65427.0,50138.0
DE017,Bielefeld,14423.0,43568.0
DE018,Halle an der Saale,14299.0,34165.0
DE019,Magdeburg,16798.0,33830.0
DE020,Wiesbaden,24417.0,53396.0
DE021,Gottingen,13951.0,36346.0
DE025,Darmstadt,20890.0,47263.0
DE026,Trier,8614.0,34209.0
