,team_id,team_name,country_name,match_count,goal_scored_total,goal_conceded_total,goal_scored_avg,goal_conceded_avg,dribbling,dribbling_class,passing,passing_class,speed,speed_class,assiting,assisting_class,crossing,crossing_class,shooting,shooting_class,defence,defence_class
0,7869,Córdoba CF,Spain,22,11.0,41.0,0.5,1.8636363636363635,40,Normal,48,Mixed,53,Balanced,55,Normal,59,Normal,57,Normal,38,Medium
1,7878,Granada CF,Spain,60,65.0,107.0,1.0833333333333333,1.7833333333333334,50,Normal,59,Mixed,57,Balanced,61,Normal,63,Normal,51,Normal,48,Medium
2,7943,Sassuolo,Italy,60,81.0,76.0,1.35,1.2666666666666666,65,Normal,60,Mixed,57,Balanced,56,Normal,57,Normal,56,Normal,38,Medium
3,8177,Hertha BSC Berlin,Germany,51,54.0,59.0,1.0588235294117647,1.1568627450980393,44,Normal,55,Mixed,47,Balanced,59,Normal,68,Lots,45,Normal,50,Medium
4,8178,Bayer 04 Leverkusen,Germany,51,90.0,57.0,1.7647058823529411,1.1176470588235294,29,Little,55,Mixed,73,Fast,77,Risky,54,Normal,61,Normal,61,Medium
5,8191,Burnley,England,19,14.0,24.0,0.7368421052631579,1.263157894736842,32,Little,67,Long,54,Balanced,72,Risky,57,Normal,47,Normal,63,Medium
6,8197,Leicester City,England,57,97.0,60.0,1.7017543859649122,1.0526315789473684,41,Normal,60,Mixed,63,Balanced,47,Normal,64,Normal,46,Normal,58,Medium
7,8226,TSG 1899 Hoffenheim,Germany,51,59.0,84.0,1.1568627450980393,1.6470588235294117,49,Normal,53,Mixed,69,Fast,66,Normal,62,Normal,59,Normal,63,Medium
8,8234,FC Ingolstadt 04,Germany,34,33.0,42.0,0.9705882352941176,1.2352941176470589,51,Normal,46,Mixed,55,Balanced,47,Normal,53,Normal,51,Normal,37,Medium
9,8262,SV Darmstadt 98,Germany,34,38.0,53.0,1.1176470588235294,1.5588235294117647,43,Normal,77,Long,59,Balanced,52,Normal,77,Lots,45,Normal,32,Deep
10,8302,Sevilla FC,Spain,61,97.0,78.0,1.5901639344262295,1.278688524590164,53,Normal,53,Mixed,53,Balanced,53,Normal,52,Normal,60,Normal,42,Medium
11,8305,Getafe CF,Spain,60,58.0,111.0,0.9666666666666667,1.85,41,Normal,38,Mixed,34,Balanced,55,Normal,39,Normal,49,Normal,43,Medium
12,8306,UD Las Palmas,Spain,38,45.0,53.0,1.1842105263157894,1.394736842105263,55,Normal,44,Mixed,48,Balanced,53,Normal,42,Normal,53,Normal,53,Medium
13,8315,Athletic Club de Bilbao,Spain,60,86.0,66.0,1.4333333333333333,1.1,46,Normal,39,Mixed,46,Balanced,50,Normal,60,Normal,36,Normal,49,Medium
14,8358,SC Freiburg,Germany,17,19.0,22.0,1.1176470588235294,1.2941176470588236,54,Normal,38,Mixed,59,Balanced,55,Normal,44,Normal,45,Normal,53,Medium
15,8370,Rayo Vallecano,Spain,60,81.0,110.0,1.35,1.8333333333333333,52,Normal,44,Mixed,29,Slow,44,Normal,44,Normal,47,Normal,54,Medium
16,8372,SD Eibar,Spain,60,64.0,94.0,1.0666666666666667,1.5666666666666667,51,Normal,52,Mixed,62,Balanced,59,Normal,55,Normal,52,Normal,37,Medium
17,8406,FC Augsburg,Germany,51,63.0,74.0,1.2352941176470589,1.4509803921568627,51,Normal,55,Mixed,59,Balanced,49,Normal,62,Normal,55,Normal,34,Medium
18,8455,Chelsea,England,57,91.0,71.0,1.5964912280701755,1.2456140350877194,41,Normal,36,Mixed,67,Fast,41,Normal,34,Normal,44,Normal,39,Medium
19,8456,Manchester City,England,57,113.0,62.0,1.9824561403508771,1.087719298245614,35,Normal,29,Short,59,Balanced,38,Normal,36,Normal,24,Little,48,Medium
20,8460,SC Paderborn 07,Germany,17,10.0,39.0,0.5882352941176471,2.2941176470588234,46,Normal,62,Mixed,67,Fast,56,Normal,48,Normal,56,Normal,25,Deep
21,8466,Southampton,England,57,81.0,59.0,1.4210526315789473,1.0350877192982457,31,Little,46,Mixed,52,Balanced,42,Normal,54,Normal,30,Little,50,Medium
22,8472,Sunderland,England,57,63.0,88.0,1.105263157894737,1.543859649122807,43,Normal,51,Mixed,43,Balanced,59,Normal,50,Normal,55,Normal,47,Medium
23,8524,Atalanta,Italy,60,68.0,83.0,1.1333333333333333,1.3833333333333333,45,Normal,37,Mixed,64,Balanced,38,Normal,49,Normal,51,Normal,36,Medium
24,8529,Cagliari,Italy,22,27.0,39.0,1.2272727272727273,1.7727272727272727,32,Little,35,Mixed,67,Fast,69,Risky,58,Normal,69,Lots,65,Medium
25,8533,Chievo Verona,Italy,60,59.0,67.0,0.9833333333333333,1.1166666666666667,54,Normal,67,Long,66,Balanced,52,Normal,66,Normal,52,Normal,46,Medium
26,8534,Empoli,Italy,60,69.0,79.0,1.15,1.3166666666666667,43,Normal,36,Mixed,66,Balanced,59,Normal,64,Normal,63,Normal,46,Medium
