Club,Location
Arsenal,London
Aston Villa,Birmingham
Barnsley,Barnsley
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Bolton Wanderers,Bolton
Bournemouth,Bournemouth
Bradford City,Bradford
Brighton & Hove Albion,Brighton
Burnley,Burnley
Cardiff City,Cardiff
Charlton Athletic,London
Chelsea,London
Coventry City,Coventry
Crystal Palace,London
Derby County,Derby
Everton,Liverpool
Fulham,London
Huddersfield Town,Huddersfield
Hull City,Kingston upon Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Manchester City,Manchester
Manchester United,Stretford
Middlesbrough,Middlesbrough
Newcastle United,Newcastle upon Tyne
Norwich City,Norwich
Nottingham Forest,Nottingham
Oldham Athletic,Oldham
Portsmouth,Portsmouth
Queens Park Rangers,London
Reading,Reading
Sheffield United,Sheffield
Sheffield Wednesday,Sheffield
Southampton,Southampton
Stoke City,Stoke-on-Trent
Sunderland,Sunderland
Swansea City,Swansea
Swindon Town,Swindon
Tottenham Hotspur,London
Watford,Watford
West Bromwich Albion,West Bromwich
West Ham United,London
Wigan Athletic,Wigan
Wimbledon,London
WolverhamptonWanderers,Wolverhampton
VfV 06 Hildesheim,Hildesheim
VfL 07 Bremen,Bremen
FSV 08 Bissingen,Bietigheim-Bissingen
TSV 1860 Munich,Munich
TSV 1860 Rosenheim,Rosenheim
TSV 1865 Dachau,Dachau
SpVgg Blau-Weiß 1890 Berlin,Berlin
FSV 63 Luckenwalde,Luckenwalde
VfR Aalen,Aalen
Alemannia Aachen,Aachen
Alemannia Haibach,Haibach
BFC Alemannia 90 Wacker,Berlin
TSV Altenholz,Altenholz
VSG Altglienicke,Berlin
SV Altlüdersdorf,Gransee
FC Altona 93,Hamburg
FC Amberg,Amberg
DJK Ammerthal,Ammerthal
FC Anker Wismar,Wismar
SpVgg Ansbach,Ansbach
Arminia Bielefeld,Bielefeld
Arminia Hannover,Hannover
Arminia Ludwigshafen,Ludwigshafen
FC Astoria Walldorf,Walldorf
TSV Aubstadt,Aubstadt
VfB Auerbach,Auerbach
FC Augsburg,Augsburg
SG Aumund-Vegesack,Bremen
SV Babelsberg 03,Potsdam
Bahlinger SC,Bahlingen
TSG Balingen,Balingen
KSV Baunatal,Baunatal
Bayer 04 Leverkusen,Leverkusen
FC Bayern Alzenau,Alzenau
SpVgg Bayern Hof,Hof
FC Bayern Munich,Munich
SpVgg Bayreuth,Bayreuth
SV Bergisch Gladbach 09,Bergisch Gladbach
Berliner AK 07,Berlin
Berliner SV,Berlin
Bischofswerdaer FV 08,Bischofswerda
Blumenthaler SV,Bremen
1. FC Bocholt,Bocholt
VfL Bochum,Bochum
TSV Bogen,Bogen
Bonner SC,Bonn
Borussia Dortmund,Dortmund
